Timestamp,Mean_Rate,Min_Rate,Max_Rate
2025-07-26 11:42:42,90.88,88.94,92.06
2025-07-26 11:42:48,89.7,85.71,93.75
2025-07-26 11:42:54,84.78,80.54,88.89
2025-07-26 11:43:00,86.69,82.25,90.91
2025-07-26 11:43:06,84.12,78.95,89.55
2025-07-26 11:43:12,88.6,83.61,93.02
2025-07-26 11:43:18,88.64,84.51,93.75
2025-07-26 11:43:24,89.88,83.33,94.49
2025-07-26 11:43:30,87.6,83.36,91.6
2025-07-26 11:43:36,85.02,78.43,89.55
2025-07-26 11:43:42,81.83,77.42,88.83
2025-07-26 11:43:48,88.75,81.97,92.31
2025-07-26 11:43:54,88.25,83.33,93.75
2025-07-26 11:44:00,89.29,85.11,93.62
2025-07-26 11:44:06,88.51,84.51,95.24
2025-07-26 11:44:12,88.24,83.33,91.6
2025-07-26 11:44:18,89.07,85.71,92.31
2025-07-26 11:44:24,88.61,85.11,91.76
2025-07-26 11:44:30,86.79,81.08,93.02
2025-07-26 11:44:36,89.43,85.76,93.02
2025-07-26 11:44:42,89.74,85.11,95.24
2025-07-26 11:44:48,91.3,88.89,94.49
2025-07-26 11:44:54,92.67,90.91,94.49
2025-07-26 11:45:00,91.51,90.23,94.49
2025-07-26 11:45:06,91.47,87.59,95.24
2025-07-26 11:45:12,94.94,91.6,97.56
2025-07-26 11:45:18,91.48,88.89,95.24
2025-07-26 11:45:24,93.54,88.89,99.17
2025-07-26 11:45:30,91.85,88.89,97.63
2025-07-26 11:45:36,95.44,92.52,98.36
2025-07-26 11:45:42,91.87,88.24,98.36
2025-07-26 11:45:48,92.25,88.81,95.24
2025-07-26 11:45:54,89.93,86.33,94.49
2025-07-26 11:46:00,91.08,86.33,96.0
2025-07-26 11:46:06,88.99,86.33,93.75
2025-07-26 11:46:12,94.12,91.64,96.0
2025-07-26 11:46:18,91.83,87.59,96.0
2025-07-26 11:46:24,92.01,87.83,94.49
2025-07-26 11:46:30,97.36,93.54,100.84
2025-07-26 11:46:36,99.57,94.49,109.09
2025-07-26 11:46:42,98.59,92.31,102.7
2025-07-26 11:46:48,101.67,95.24,105.26
2025-07-26 11:46:54,98.58,93.75,105.26
2025-07-26 11:47:00,99.32,97.36,104.35
2025-07-26 11:47:06,98.14,96.0,100.0
2025-07-26 11:47:12,102.12,96.77,109.09
2025-07-26 11:47:18,100.45,97.56,102.56
2025-07-26 11:47:24,97.01,94.36,102.31
2025-07-26 11:47:30,96.59,92.31,101.95
2025-07-26 11:47:36,97.78,93.75,102.56
2025-07-26 11:47:42,97.59,95.24,101.69
